sample_id,source,stratum,area_m2,labelled_frac,cell,centroid_x,centroid_y,category,conf,note,options
fp_l_070,fp_other,large_1k+,2879.6,,c5r7,430487.8,432924.3,,,,grey_hardstanding | bare_ground | goods_yard | sports_court | building_house | on_street | real_parking_missed | other
fn_s_071,fn_other,small_100_300,184.5,,c9r5,434731.1,434529.8,,,,lorry_van_lot | unusual_surface | shaded_occluded | small_irregular | rooftop | other
fn_s_072,fn_other,small_100_300,292.2,,c9r5,434301.4,434422.9,,,,lorry_van_lot | unusual_surface | shaded_occluded | small_irregular | rooftop | other
fn_s_073,fn_other,small_100_300,187.0,,c8r4,433226.1,435554.2,,,,lorry_van_lot | unusual_surface | shaded_occluded | small_irregular | rooftop | other
fn_s_074,fn_other,small_100_300,251.1,,c5r4,430190.5,435147.4,,,,lorry_van_lot | unusual_surface | shaded_occluded | small_irregular | rooftop | other
fn_s_075,fn_other,small_100_300,272.5,,c4r3,429177.4,436866.8,,,,lorry_van_lot | unusual_surface | shaded_occluded | small_irregular | rooftop | other
fn_s_076,fn_other,small_100_300,257.7,,c2r5,427797.5,434004.3,,,,lorry_van_lot | unusual_surface | shaded_occluded | small_irregular | rooftop | other
fn_s_077,fn_other,small_100_300,267.2,,c3r5,428450.3,434810.2,,,,lorry_van_lot | unusual_surface | shaded_occluded | small_irregular | rooftop | other
fn_s_078,fn_other,small_100_300,292.7,,c4r9,429253.0,430993.3,,,,lorry_van_lot | unusual_surface | shaded_occluded | small_irregular | rooftop | other
fn_s_079,fn_other,small_100_300,174.4,,c7r3,432987.6,436601.8,,,,lorry_van_lot | unusual_surface | shaded_occluded | small_irregular | rooftop | other
fn_s_080,fn_other,small_100_300,252.0,,c5r5,430762.6,434366.8,,,,lorry_van_lot | unusual_surface | shaded_occluded | small_irregular | rooftop | other
fn_m_081,fn_other,medium_300_1k,651.6,,c5r7,430838.1,432645.2,,,,lorry_van_lot | unusual_surface | shaded_occluded | small_irregular | rooftop | other
fn_m_082,fn_other,medium_300_1k,339.4,,c9r4,434410.0,435180.4,,,,lorry_van_lot | unusual_surface | shaded_occluded | small_irregular | rooftop | other
fn_m_083,fn_other,medium_300_1k,623.8,,c9r3,434953.9,436299.4,,,,lorry_van_lot | unusual_surface | shaded_occluded | small_irregular | rooftop | other
fn_m_084,fn_other,medium_300_1k,852.9,,c5r7,430945.0,432460.3,,,,lorry_van_lot | unusual_surface | shaded_occluded | small_irregular | rooftop | other
fn_m_085,fn_other,medium_300_1k,907.3,,c7r8,432347.3,431787.4,,,,lorry_van_lot | unusual_surface | shaded_occluded | small_irregular | rooftop | other
fn_m_086,fn_other,medium_300_1k,995.6,,c9r4,434372.9,435182.3,,,,lorry_van_lot | unusual_surface | shaded_occluded | small_irregular | rooftop | other
fn_m_087,fn_other,medium_300_1k,465.3,,c2r9,427838.8,430188.0,,,,lorry_van_lot | unusual_surface | shaded_occluded | small_irregular | rooftop | other
fn_m_088,fn_other,medium_300_1k,667.6,,c5r5,430494.0,434417.8,,,,lorry_van_lot | unusual_surface | shaded_occluded | small_irregular | rooftop | other
fn_m_089,fn_other,medium_300_1k,901.6,,c0r8,425087.9,431870.3,,,,lorry_van_lot | unusual_surface | shaded_occluded | small_irregular | rooftop | other
fn_m_090,fn_other,medium_300_1k,333.7,,c4r3,429204.4,436892.7,,,,lorry_van_lot | unusual_surface | shaded_occluded | small_irregular | rooftop | other
fn_m_091,fn_other,medium_300_1k,527.6,,c7r7,432451.0,432105.3,,,,lorry_van_lot | unusual_surface | shaded_occluded | small_irregular | rooftop | other
fn_m_092,fn_other,medium_300_1k,644.0,,c4r9,429436.6,430280.4,,,,lorry_van_lot | unusual_surface | shaded_occluded | small_irregular | rooftop | other
fn_m_093,fn_other,medium_300_1k,380.6,,c4r7,429026.7,432731.1,,,,lorry_van_lot | unusual_surface | shaded_occluded | small_irregular | rooftop | other
fn_m_094,fn_other,medium_300_1k,693.3,,c4r7,429867.9,432690.5,,,,lorry_van_lot | unusual_surface | shaded_occluded | small_irregular | rooftop | other
fn_m_095,fn_other,medium_300_1k,577.8,,c3r7,428956.1,432690.8,,,,lorry_van_lot | unusual_surface | shaded_occluded | small_irregular | rooftop | other
fn_l_096,fn_other,large_1k+,3218.8,,c4r9,429009.4,430584.1,,,,lorry_van_lot | unusual_surface | shaded_occluded | small_irregular | rooftop | other
